aid,Relationship,RelCheck_1,RelCheck_2,RelCheck_3,RelCheck_4,RelCheck_5,IndCol_1,IndCol_2,IndCol_3,IndCol_4,IndCol_5,IndCol_6,IndCol_7,IndCol_8,IndCol_9,IndCol_10,IndCol_11,IndCol_12,RelDist_1,RelDist_2,RelDist_3,RelDist_6,RelDist_7,RelCont_1,RelCont_2,RelCont_3,RelCont_6,RelCont_7,RelTalk_1,RelTalk_2,RelTalk_3,RelTalk_6,RelTalk_7,RelPhone_1,RelPhone_2,RelPhone_3,RelPhone_6,RelPhone_7,ParClose_1,ParClose_2,PPClose_1,PPClose_2,PartClose_1,PartClose_2,FriendClose_1,FriendClose_2,AcqClose_1,AcqClose_2,RelBen_1,RelBen_2,RelBen_3,RelBen_6,RelBen_7,RelHap_1,RelHap_2,RelHap_3,RelHap_6,RelHap_7,RelCost_1,RelCost_2,RelCost_3,RelCost_6,RelCost_7,RelPrior_1,RelPrior_2,RelPrior_3,RelPrior_6,RelPrior_7,ParSup_1,ParSup_2,ParSup_3,PPSup_1,PPSup_2,PPSup_3,PartSup_1,PartSup_2,PartSup_3,FriendSup_1,FriendSup_2,FriendSup_3,AcqSup_1,AcqSup_2,AcqSup_3,Income,RaceEth_1,RaceEth_2,RaceEth_3,RaceEth_4,RaceEth_5,RaceEth_6,RaceEth_7,RaceEth_8,RaceEth_7_TEXT,country,Age,RelCheck2_1,RelCheck2_2,RelCheck2_3,RelCheck2_4,RelCheck2_5,RelCheck2_6,MarStat,MarStat_5_TEXT,RelLength_Text_1,RelLength_Text_2,MarLength,Living,Living_5_TEXT,Child,Child_3_TEXT,GenderID,GenderID_8_TEXT,GAB,GAB_5_TEXT,SexOr,SexOr_9_TEXT,SpGenderID,SpGenderID_8_TEXT,SpGAB,SpGAB_5_TEXT,SpSexOr,SpSexOr_9_TEXT,Attention_Check,DataConsent,Ind,Col,Race,SibCous,TimeGiven,MoneyGiven,Closeness,CommStr,Supp,Conf
63ee6fa0-3804-d35f-9de6-2ba049e218fc,Acq,1,1,1,1,1,5,5,5,5,3,3,5,5,5,5,3,6,1,6,1,1,1,9,9,9,9,9,5,2,5,5,4,5,2,4,5,3,6,6,2,2,6,6,5,5,4,4,10,5,10,10,5,10,10,10,10,10,9,5,10,6,5,10,8,10,10,10,7,7,7,5,5,5,7,7,7,7,7,7,6,6,6,3,1,0,0,0,0,0,0,0,NA,187,50,0,0,0,0,0,1,1,NA,29,0,26,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,5,4.285714285714286,1,1,0,0,4,7.5,6,0.2735433232010707
63ee6fa0-3804-d35f-9de6-2ba049e218fc,Friend,1,1,1,1,1,5,5,5,5,3,3,5,5,5,5,3,6,1,6,1,1,1,9,9,9,9,9,5,2,5,5,4,5,2,4,5,3,6,6,2,2,6,6,5,5,4,4,10,5,10,10,5,10,10,10,10,10,9,5,10,6,5,10,8,10,10,10,7,7,7,5,5,5,7,7,7,7,7,7,6,6,6,3,1,0,0,0,0,0,0,0,NA,187,50,0,0,0,0,0,1,1,NA,29,0,26,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,5,4.285714285714286,1,1,0,0,5,9,7,0.5462239800398129
63ee6fa0-3804-d35f-9de6-2ba049e218fc,InLaws,1,1,1,1,1,5,5,5,5,3,3,5,5,5,5,3,6,1,6,1,1,1,9,9,9,9,9,5,2,5,5,4,5,2,4,5,3,6,6,2,2,6,6,5,5,4,4,10,5,10,10,5,10,10,10,10,10,9,5,10,6,5,10,8,10,10,10,7,7,7,5,5,5,7,7,7,7,7,7,6,6,6,3,1,0,0,0,0,0,0,0,NA,187,50,0,0,0,0,0,1,1,NA,29,0,26,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,5,4.285714285714286,1,1,2,0,2,7,5,0.05178174604715013
63ee6fa0-3804-d35f-9de6-2ba049e218fc,Parents,1,1,1,1,1,5,5,5,5,3,3,5,5,5,5,3,6,1,6,1,1,1,9,9,9,9,9,5,2,5,5,4,5,2,4,5,3,6,6,2,2,6,6,5,5,4,4,10,5,10,10,5,10,10,10,10,10,9,5,10,6,5,10,8,10,10,10,7,7,7,5,5,5,7,7,7,7,7,7,6,6,6,3,1,0,0,0,0,0,0,0,NA,187,50,0,0,0,0,0,1,1,NA,29,0,26,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,5,4.285714285714286,1,1,5,0,6,9.75,7,0.32439770392623113
63ee6fa0-3804-d35f-9de6-2ba049e218fc,Spouse,1,1,1,1,1,5,5,5,5,3,3,5,5,5,5,3,6,1,6,1,1,1,9,9,9,9,9,5,2,5,5,4,5,2,4,5,3,6,6,2,2,6,6,5,5,4,4,10,5,10,10,5,10,10,10,10,10,9,5,10,6,5,10,8,10,10,10,7,7,7,5,5,5,7,7,7,7,7,7,6,6,6,3,1,0,0,0,0,0,0,0,NA,187,50,0,0,0,0,0,1,1,NA,29,0,26,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,5,4.285714285714286,1,1,7,2000,6,10,7,0.09482192427681096
63ee73fa-336c-c8c8-94a7-d65f35d3c3df,Acq,1,1,0,1,0,4,6,5,5,2,5,3,4,3,5,5,7,7,7,1,6,2,5,5,9,9,9,1,1,5,3,2,1,1,5,4,3,6,6,5,5,7,7,7,7,6,6,10,10,10,10,7,10,10,10,10,10,9,9,9,9,7,10,10,10,10,7,7,6,6,5,5,5,6,6,6,6,6,6,5,4,4,3,1,0,0,0,0,0,0,0,NA,187,65,0,0,1,0,1,0,1,NA,43,11,42,1,NA,3,live together,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,4.4,4.571428571428571,1,1,1,0,6,7.75,4.333333333333333,0.04427960781270969
63ee73fa-336c-c8c8-94a7-d65f35d3c3df,Friend,1,1,0,1,0,4,6,5,5,2,5,3,4,3,5,5,7,7,7,1,6,2,5,5,9,9,9,1,1,5,3,2,1,1,5,4,3,6,6,5,5,7,7,7,7,6,6,10,10,10,10,7,10,10,10,10,10,9,9,9,9,7,10,10,10,10,7,7,6,6,5,5,5,6,6,6,6,6,6,5,4,4,3,1,0,0,0,0,0,0,0,NA,187,65,0,0,1,0,1,0,1,NA,43,11,42,1,NA,3,live together,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,4.4,4.571428571428571,1,1,2,208,7,9.75,6,0.6150541345674668
63ee73fa-336c-c8c8-94a7-d65f35d3c3df,InLaws,1,1,0,1,0,4,6,5,5,2,5,3,4,3,5,5,7,7,7,1,6,2,5,5,9,9,9,1,1,5,3,2,1,1,5,4,3,6,6,5,5,7,7,7,7,6,6,10,10,10,10,7,10,10,10,10,10,9,9,9,9,7,10,10,10,10,7,7,6,6,5,5,5,6,6,6,6,6,6,5,4,4,3,1,0,0,0,0,0,0,0,NA,187,65,0,0,1,0,1,0,1,NA,43,11,42,1,NA,3,live together,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,4.4,4.571428571428571,1,1,3,600,5,9.75,5,-0.5903820588194962
63ee73fa-336c-c8c8-94a7-d65f35d3c3df,Parents,1,1,0,1,0,4,6,5,5,2,5,3,4,3,5,5,7,7,7,1,6,2,5,5,9,9,9,1,1,5,3,2,1,1,5,4,3,6,6,5,5,7,7,7,7,6,6,10,10,10,10,7,10,10,10,10,10,9,9,9,9,7,10,10,10,10,7,7,6,6,5,5,5,6,6,6,6,6,6,5,4,4,3,1,0,0,0,0,0,0,0,NA,187,65,0,0,1,0,1,0,1,NA,43,11,42,1,NA,3,live together,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,4.4,4.571428571428571,1,1,3,596,6,9.75,6.333333333333333,-0.7945185666858493
63ee73fa-336c-c8c8-94a7-d65f35d3c3df,Spouse,1,1,0,1,0,4,6,5,5,2,5,3,4,3,5,5,7,7,7,1,6,2,5,5,9,9,9,1,1,5,3,2,1,1,5,4,3,6,6,5,5,7,7,7,7,6,6,10,10,10,10,7,10,10,10,10,10,9,9,9,9,7,10,10,10,10,7,7,6,6,5,5,5,6,6,6,6,6,6,5,4,4,3,1,0,0,0,0,0,0,0,NA,187,65,0,0,1,0,1,0,1,NA,43,11,42,1,NA,3,live together,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,4.4,4.571428571428571,1,1,3,307,7,9.75,6,0.3131121083067946
